,Url,Namn,Alt. namn,Byggår och arkitekt,Alternativt namn,Annexskolor,Adress,Arkiv på Stadsarkivet,Rektorsområde,Arkiv hos övriga,Historik
435,Visa/forberedande-elementarskolan-1/2de89a9b-25fd-43b0-ba76-571bea41c2d5,Förberedande elementarskolan 1,,,,,Drottninggatan 40,,,,"Enskild skola

Upptas i årsberättelsen 1871 ( J. Lundborg)."
436,Visa/orbyskolan/cb0023f8-796c-4fb4-8c36-5742989bbade,Örbyskolan,Örby folkskola / Örby fortsättningsskola / Örby gamla skola / Örby nya skola,,,,Gamla Huddingevägen 425,,,,"Folkskola, Försöksskola, Enhetsskola, Grundskola åk 1-6

Huvudskola i Örby ro 1957-1962 (1962-1991 var Sjöängsskolan huvudskola och då med Örbyskolan som annex). Egen enhet 1992. Tillhörde Vantörs Sdn 1997-vt 2007.

Örby gamla skola från 1903  renoverad 1954. Ny skola 1915 på samma tomt, med samma utseende som Enskedeskolan och Långbrodals gamla skola.

Provisorier:
Filial på Gimmerstavägen 6-8 1957-1962.
Se även ""Slottspaviljongen "" (Örby slott) under Sjöängsskolan 
samt Älvsjö öd !"
437,Visa/kunskapsskolans-resursskola-hagersten-/5534e652-04a8-4fa4-919a-579e1f43ef57,Kunskapsskolans resursskola Hägersten,Resursskolan Hägersten,,,,Riksdalervägen 5,,,,"Fristående grundskola åk 6-9, resursskola, Grundsärskola

Nyöppnad ht 2007? I kataloger 2011 och 2012 som fristående skola med särskilt stöd.
Med grundsärskola (åtm. från ht 2009). Upptas dock ej i listor över särskolor 2015."
438,Visa/liljeholmens-skoldistrikt/cf441edb-f3a7-4a4a-a254-57e510fec3e5,Liljeholmens skoldistrikt,Liljeholmsdistriktet / Liljeholmens öd  1914-1935,,,,,,,,"Överlärardistrikt inom Brännkyrka församling 1913-1918.
Byter namn 1918 till Blommensbergs öd - se d:o.

Se även Brännkyrka skoldistrikt samt Midsommarkransens öd som 1918-1936 benämns Liljeholmens öd !"
439,Visa/rgrh-stockholm-riksgymnasiet-for-rorelsehindrade-i-stockholm/d16940d6-0285-455b-b70a-5822c218e682,RgRh Stockholm (Riksgymnasiet för rörelsehindrade i Stockholm),Riksgymnasium för rörelsehindrade,,,,Polhemsgatan 35,,,,"Gymnasium, Riksgymnasium för rörelsehindrade, gymnasiesärskola

För tiden före 2014 - se Stockholms RH-gymnasium (SE/SSA/2323).
Skolan låg tidigare i Skärholmens gymnasium, Bredholmstorget 4. Huvudskolan ligger nu på S:t Eriks gymnasium, men möjlighet finns att läsa vid andra skolor.

Till skolan hör ett habiliteringsteam och ett elevhem."
440,Visa/grondals-ro--1990-1991/37c4d79d-3e48-49b5-bec1-58408728005d,Gröndals ro  1990-1991,,,,,,,,,
441,Visa/grundskolan-metapontum-/01c1406b-d35f-41c1-b050-5857f4025c53,Grundskolan Metapontum,Metapontum,,,,se Historik mm !,,,,"Fristående grundskola

I skolans lokaler finns även Gymnasieskolan Metapontum.

Öppnad 2006? på Kungliga Tekniska Högskolans campusområde. 
Koppling till Sonja Kovalevskyskolan - se även d:o.
Grundskolan Metapontum upptas fg i katalog grundskolor 2010 enbart som Metapontum, i katalog 2011 anges Grundskolan Metapontum.

Adresser:
2007?-2009?  Teknikringen 10
2009?-2011   Brinellvägen 23
2011-        Stora mans väg 11 C (grundskolan från 2010, gymnasiet
             från 2011?)"
442,Visa/st-gorans-samrealskola/be4a521f-d30a-42cd-b65e-58c8d9250d60,S:t Görans samrealskola,Norra kommunala mellanskolan / Stockholms stads norra kommunala mellanskola / Stockholms stads högre folkskola för medborgerlig bildning / Kommunala mellanskolan i Stockholm / S:t Görans samrealskola och Farsta läroverk,,,,Fridhemsgatan 17-19,,,,"Mellanskola, Realskola, Grundskola åk 7-9  1962-1964

Öppnades 1919 som Stockholms stads högre folkskola för medborgerlig bildning - se vidare denna. 1923 ändrades skolan namn till Kommunala mellanskolan i Stockholm. 1926 delades denna i två: Stockholms norra resp. södra kommunala mellanskola. Den södra - se vidare Högalids samrealskola. Den norra, som bildades av avdelningarna vid Adolf Fredriks, Engelbrekts och Kungsholmens folkskolor, kunde flytta in i en nyuppförd nyklassisistisk byggnad vid Fridhemsplan 1926. Den fjärde avdelningen kvarblev vid Alviks folkskola. Norra kommunala mellanskolan hade senare även undervisningsavdelningar vid Olovslundsskolan.
Förstatligades 1948 och omvandlades under en övergångsperiod till en statlig realskola med namnet S:t Görans samrealskola. Även försöksverksamhet med 9-årig enhetsskola. 
S:t Görans samrealskola lades ned 1964 varvid de lägre klasserna redan uppgått i högstadiet vid Farsta läroverk.


Namn:
1919-1923 Stockholms stads högre folkskola för medborgerlig bildning
1923-1926 Kommunala mellanskolan i Stockholm
1923-1948 Stockholms stads norra kommunala mellanskola
1948-1962 S:t Görans samrealskola 
1962-1964 S:t Görans samrealskola och Farsta läroverk

Filialer:
1948-1950 Gustav III:s väg (lokaler i Abrahamsbergsskolan)
1950-1959 Tranebergsvägen 73 (lokaler i Alviksskolan)
1959-1962 Kristinebergsparken (lokaler i Kristinebergsskolan)

I byggnaden senare filial till Frans Schartaus gymnasium (Stockholms handelsgymnasium) , kommunal vuxenutbildning (Fridhemsplans vuxengymnasium), delar av Skolförvaltningens administration, invandrarundervisning (SFI-skolan), Sverigefinska skolan i Stockholm mm.
Stockholms stads tekniska aftonskola också verksam under många år med en filial i byggnaden."
443,Visa/hammarby-odro-1945-1968/efb42802-1628-460c-81d3-58ca766f7e56,Hammarby öd/ro 1945-1968,,,,,,,,,"Huvudskola:
Hammarbyskolan"
444,Visa/gubbangens-slojdskola/142f55eb-a67b-45b6-9995-58cc0e69db77,Gubbängens slöjdskola,Gubbängens småskola,,,,,,,,
445,Visa/kvarnbyskolan/66d0a9e2-0020-4b09-932f-5924bc72f963,Kvarnbyskolan,(Kvarnby grundsärskola) / (Kvarnbyskolans grundsärskola),,,,Lillbybacken 4 (se även Historik mm),,,,"Grundskola åk 1-6, Grundsärskola

Skolan öppnade 1970 under Östermalms ro.
(Skolan upptas i matrikeln för 1970/71 men anges som öppnad först 1971 i arkivförteckningens inledning). 
Huvudskola i Kvarnby ro 1976-1990. Egen enhet 1990. 
Tillhörde Rinkeby Sdn 1990-vt 2007.

Kvarnby grundsärskola 1976-1988. 
Åter med grundsärskola (åtm. från ht 2009 - Kvarnbyskolans grundsärskola. Enligt arkivfört. inledning flyttar särskolan ht 2015 till Askebyskolan. Upptas dock i lista 2016 över grundsärskolor för Kvarnby men saknas i d:o lista 2017 för Kvarnby och upptas då istället för Askeby.

Adresser:
1970/71-1975/76 Degerbygränd
From 1976/77 Lillbybacken"
446,Visa/kvickenstorps-ro--1972-1991/ba286b6e-b3dd-4720-82b6-59681a18fc6e,Kvickenstorps ro  1972-1991,,,,,,,,,Kvickenstorpsskolan var huvudskola i Kvickenstorps ro.
447,Visa/krillan/5b722099-6715-4713-9577-59737c74e7d6,Krillan,,,,,,,,,"""Smeknamn"" på två olika skolenheter:

1. Kristinebergs gymnasium - se d:o

2. Krillans skolverkstad - se Skolverkstaden"
448,Visa/vasa-international-school-of-stockholm/a81860df-935c-4f83-83e5-59dc7d299a92,Vasa International School of Stockholm,Europaskolan i Vasastan,,,,Luntmakargatan 101,,,,"Fristående grundskola åk F-5, 

Jämför Europaskolan på Södermalm.
Namnbyte från Europaskolan till Vasa International School of Stockholm 2016."
449,Visa/maria-folkskola/4940ed9c-9f14-49ce-a582-5a0eda866be5,Maria folkskola,,,,,,,,,"Fattigskola, Folkskola

1847 folkskola för gossar samt 1834-1876 Maria församlings fattigskola. 1847 i hyrda lokaler på S:t Paulsgatan (van der Nootska palatset). From 1855 i Hartwickska huset (byggt 1769) som Maria församling inköpte jämte tillhörande tomt, 
S:t Paulsgatan 29 (alt. Timmermansgatan 28). När folkskolan byggdes på samma tomt 1864 och 1876 användes byggnaden till lärarbostäder och senare under 1900-talet till skolkök, slöjd, gymnastik mm. Numera föreningslokaler, kursverksamhet i Hartwickska huset.
Fattigskola i hyrda lokaler på Hornskroken 1 inrättad 1845, 
kv. Mullvaden, senare där även folkskola enl. Ferlin 1859.

Maria folkskola - se vidare Mariaskolan.
Maria gamla folkskola - se vidare Gamla Maria skola.

Litteratur: Munthe, Arne: Västra Södermalm efter 1850. 1965."
450,Visa/montessori-mondial-malarhojden/a9fc9a0c-9411-41fb-925d-5aaea0b0573c,Montessori Mondial Mälarhöjden,"Lögarebergets Montessoriskola, Pysslingen Skolor - Lögarebergets Montessoriskola",,,,Traktörsgränd 10,,,,"Fristående grundskola åk F-5.
Huvudman, AcadeMedia.

Öppnad ht 2000 som Lögarebergets Montessoriskola.
I okteber 2020 byter skolan namn till Montessori Mondial Mälarhöjden."
451,Visa/eklunds-skola/aa9d8d66-25d3-461e-85f2-5ad4e1c9036a,Eklunds skola,Fröken Karin Eklunds skola,,,,1925 anges Vikingagatan 7B,,,,Privatskola
452,Visa/larlingsutbildning/a305dd0d-393d-4964-a482-5afada3b8d40,Lärlingsutbildning,,,,,,,,,"Uppgifterna i denna registerpost avser kommunal lärlingsutbildning på 2000-talet !

Uppgifter före läsåret 2003/04 ej påträffade.

Lärlingsutbildning vid:
Enskede Gårds gymnasium 2003-2004
Kista gymnasium 2003-
S:t Eriks gymnasium 2004-2005, 2008-
S:t Görans gymnasium 2005-2008"
453,Visa/jakob-och-johannes-forsamlings-skolrad/30f23217-ff73-4f2c-9af1-5b6cc98dfce9,Jakob och Johannes församlings skolråd,,,,,,,,,
454,Visa/djurgardsskolan/90aa817c-6971-462e-9eff-5bacc19631f6,Djurgårdsskolan,Kongliga Djurgårdens skola / Djurgårdens folkskola,,,,Sollidsbacken 10,,,,"Folkskola, Grundskola åk 1-6, Fristående grundskola åk 1-3 (Montessoriinriktad)

1759 började undervisning i en lokal i någon byggnad vid varvet på Djurgården. Under 1820-talet var den sedermera välkände historikern Anders Fryxell skolmästare vid skolan. Skolan löd 1828-1863 under Kungl. Direktionen över Stockholms stads undervisningsverk. 1830 togs nya lokaler i bruk för skola och kyrka - nuvarande Djurgårdskyrkan. Nytt skolhus 1878 - se ovan.

Enhet Östermalm/Djurgårdsskolan 1992-1993
Fristående grundskola 1993-  , driven av en stiftelse.

För detaljer - se arkivförteckningen över Djurgårdens folkskola."
455,Visa/folkskoleseminariet-i-stockholm/53bd6a54-f78d-4251-8f01-5bc9dd34005c,Folkskoleseminariet i Stockholm,Folkskolelärarinneseminariet / Kungliga seminariet för bildande av folkskolelärarinnor / Kungliga seminariet för bildande av småskolelärarinnor,,,,Maria Prästgårdsgata 9,,,,"Enl. Ferlin 1859: stadgar från 1842.

Ursprung i växleundervisningssällskapets skola - se d:o.
1842 års folkskolestagda gav att lärarutbildning vid växelundervisningssällskapets skola gav behörighet til folkskollärartjänst.
Seminariet inrättades 1861 och från 1864 undervisades enbart kvinnliga elever. Tillbyggnad 1877. Under en byggnadsperiod i början av 1900-talet var seminariet tillfälligt inhyst i Gamla Riksdagshuset på Riddarholmen. 1908 kunde den nya skolbyggnaden tas i anspråk.
Seminariets övningsskola låg på Björgårdsgatan 10 - se även Folkskoleseminariets övningsskola. 
Seminariet och övningsskolan avvecklades 1968.
Från 1971 filial till Lärarhögskolan (Studie- och yrkesorienteringslinjen) 

Även adressen Björngårdsgatan 10 (1871) som Kungliga seminariet för bildadande av folkskolelärarinnor.
På samma adress och år även Kungliga seminariet för bildande av småskolelärarinnor.

Fastigheten ombyggdes 1989-1990 - se Björngårdsskolan.

Litteratur: Munthe, Arne: Västra Södermalm efter 1850. 1965."
456,Visa/tyska-national-lyceum/25ea0cdc-1482-4323-9f50-5c1de02669f9,Tyska National-Lyceum,Tyska Lyceum / Tyska skolan / Deutsches National-Lyceum / Latinska skolan vid Tyska församlingen,,,,"1576-xxxx Själagårdsgatan/Tyska skolgränd (Svartbrödra Gillets gamla sal)
1653-1776 Tyska skolgränd 4
1776-1863 Tyska skolgränd 8 (alt. anges Skärgårdsgatan 8)
1883-1888 Slottsbacken 6",,,,"Privat förberedande skola, realskola och gymnasium

På 1560-talet inrättades en skola benämnd Tyska skolan eller Tyska nationallyceet from 1571 underställd den samma år bildade Tyska församlingen; i början av 1600-talet benämnd ""Latinska skolan vid Tyska församlingen"". Fram till 1841 benämnd ""Deutsches National-Lyceum"". 1612 fick Tyska församlingen privilegium att med ensamrätt driva en skola för barnen i församlingen. Under 1600-talet förvandlades skolan till en ""lärd skola"". Efter hand utvidgades skolans lokaler och 1776 var ett nytt byggnadskomplex färdigt i hörnet Själagårdsgatan/Tyska skolgränd. I en redogörelse från 1814 anges att den dels utgör en förberedelseanstalt för univeristet - ett gymnasium, dels en bildningsanstalt för blivande köpmän, konstnärer och hantverkare - en real- och borgareskola. På grund av sjunkande elevantal lades skolan ner 1888. Se även Tyska språkskolan.


Litteratur:
Grave, Eudolph; Lüdeke, J.A.A. & Wallin, Johan Olof mfl: Tyska skolan i Stockholm fordomdags. Lund 1940.
Schieche, Emil: Die Deutsche Schule in Stockholm. Stockholm 1977.
Lind-Fehmers, Barbro: Tyska skolan. Artikel på DVD-skivan Gamla stan under 750-år. 2002 (med fler litteraturuppgifter)."
457,Visa/smaskoleseminariet-i-stockholm/a659e38e-fe2c-4238-ba4a-5cb0f3f7b298,Småskoleseminariet i Stockholm,Småskoleseminariets övningsskola,,,,"1945-1950 Ringvägen 23 (Maria folkskola)
1950-1958 Riddargatan 5 (fd Högre lärarinneseminariet)",,,,"Småskoleseminariet öppnades ht 1945 och upphörde efter vt 1958.

Småskoleseminariets övningsskola 1956/57 på Riddargatan 5 - 
se även Hedvig Eleonora skola."
458,Visa/annaskolan/33bb2141-5bef-4738-a5b0-5cb6c779349e,Annaskolan,,,,,Eriksbergsgatan 15,,,,"Privat flickskola

Grundad 1924 av Ester Edelstam (1886-1976). Skolan låg i Timmermansordens hus och hade kindergarten, förberedande skola samt 8-klassig normalskola. Man tillämpade sk koncentrationsläsning. 
1933 slogs skolan samman med Detthowska skolan (se även denna) och blev Annaskolan-Detthowska skolan i Detthowska skolans lokaler."
459,Visa/lyceum-for-pojkar/ba9c50eb-5b9c-458a-b417-5ce9b5baa656,Lyceum för pojkar,Stockholms lyceum,,,,Se Historik mm.,,,,"Privat elementarläroverk

Stockholms Lyceum, Regeringsgatan 54.
Öppnat 1839 av akademiadjunkten Carl Olof Ramström (1791-1852) efter samma plan som det av honom 1827 upprättade Uppsala Lyceum. 
1851 övertogs såväl de lägre avdelningarna som gymnasiedelen av 
Carl Johan Bohman (1816-1882) och Otto von Feilitzen (1820-1889). Bestod av: Förberedande skolan med 2 klasser, Skolan med 4 klasser, Gymnasiet med 4 klasser samt 1851(1852 enl. en annan uppgift)-1862 en fristående Förberedande skola för inträde vid. Kongl. Krigs-Akademien. Studentexamensrätt 1864.
August Strindberg gick i denna skola. 
Flyttades efter en brand 1865 till Ålandsgatan 17 (nuv. Mäster Samuelsgatan 19).

Sammanslogs 1875 med Stockholms ateneum.

Av arkivet inga spår. En del tryck finns dock på KB.

Litteratur: Forsstrand, Carl: Stockholms lyceum. (i S:t Eriks årsbok 1917). Se även under Stockholms ateneum (litteratur)."
460,Visa/storkyrkans-och-klara-od--1933-1940/e7583648-6017-44f2-b84e-5d27f2884eb9,Storkyrkans och Klara öd  1933-1940,,,,,,,,,
461,Visa/solhemsskolan-annex-solhemsangens-skola/c1af0e72-7c4c-4fdd-b7fc-5d47fd9da232,"Solhemsskolan, annex Solhemsängens skola",Solhemsängens skola,,,,Salagatan 50,,,,"Grundskola åk 1-4

Upptas som egen enhet i katalog 2011 men omnämns redan i d:o 2007 tillsammans med Solhemsskolan - se även denna. Upptas dock ej i katalog 2012 som egen skolenhet men adressen nämns för åk1-2 under Solhemsskolan.
I katalog 2014 under namnet Solhemsskolan, annex Solhemsängens skola. Saknas åter i katalog 2015 som egen post. Åter egen post i lista över grundskolor i Stockholm 2016 men inte 2017."
462,Visa/abrahamsbergsskolan/53c6dbed-9327-4f6f-a50f-5d7b80aa14da,Abrahamsbergsskolan,,,,,Gustav III:s väg 2-10,,,,"Folkskola, Enhetsskola, Grundskola åk 1-9.

Huvudskola i Abrahamsbergs öd/ro 1946-1991. Egen skolenhet from 1991. 
Tillhörde Bromma Sdn 1997-vt 2007.
Med filial till S:t Görans samrealskola 1948-1950.

Provisorier:
på Dukvägen 9 och i Irisområdet, Drottningsholmsvägen på 1950-talet."
463,Visa/skarpnacks-gamla-skola-/9a45f101-0012-45c2-8b74-5dbf1d83caeb,Skarpnäcks gamla skola,Skarpnäcks folkskola,,,,Kärrtorpsvägen 64,,,,"Folkskola, Grundskola åk 1-3

Före 1913 - se Brännkyrka skoldistrikt.

Huvudskola i Skarpnäcks öd1 1931-1945. ??  Annex till Skarpnäcks nya skola som enhet Skarpnäck/Skarpnäcks gamla skola from 1992. 
Tillhörde Hammarby Sdn 1997-1998 och Skarpnäcks Sdn 1999-vt 2007.

Den första småskolan i Skarpnäck öppnades 1877. 
Kallades tidigare Gamla skolan, namnändring 1986 till Skarpnäcks gamla skola."
464,Visa/statens-normalskola-sns/219d35d0-ce69-4a8f-99bf-5deb1ade49e5,Statens normalskola (SNS),Högre allmänna läroverket Statens Normalskola,,,,se Historik mm!,,,,"Gymnasium, Realskola, Högre flickskola, Försöksskola, Folkskola, Enhetsskola, Grundskola åk7-9 1962-1969, Vuxengymnasium 1970-1971

Efter vt 1943 lades Högre lärarinneseminariet ned varvid seminariets övningsskola Statens normalskola för flickor ombildades till ett högre allmänt läroverk med gymnasium, realskola, högre flickskola och folkskola (from 1956 enhetsskola och 1962-1970 grundskolans högstadium).

Namn:
Högre allmänna läroverket Statens normalskola 1943-1966.
Kommunaliserat 1966 och namnbyte 1967 till Statens normalskola.

Ht 1971 sammanfördes Statens normalskola med Östra real med det nya namnet Östermalms gymnasium och med gemensam rektor med huvudsäte i Östra real men med mottagningstider även på normalskolan. 
I Stockholms skolors tryckta matrikel 1971/72 betecknas normalskolan som filial till Östermalms gymnasium men för läsåren 1972/73-1975/76 står Östra real och Statens normalskola som två jämnbördiga enheter under gymnasienamnet Östermalms gymnasium. 
(På normalskolan i huvudsak humaniora och naturvetenskap samt musiklinje; på Östra real naturvetenskap och ekonomi).
Arkivbildningen (arkiveringen) för båda enheterna har skett i Östermalms gymnasiums arkiv läsåren 1971/72-1975/76.

Statens normalskola upphörde efter vt 1976.
 
Med vuxengymnasium 1970-1971 - se Maria vux !

Lokaler:
1943-1950 Riddargatan 5 (fd Statens normalskola för flickor)
1950-1976 Lidingövägen 2 (nyuppförd skolbyggnad)
Tom 1953 dessutom annex kallade avdelningar i lokaler på Nybrogatan 19 (folkskolan) resp. Slöjdgatan 4 (realskolan; tidigare lokaler för Nya Elementarskolan).
From ht 1953 realskoledelen på Dalagatan 18 (i fd Åhlinska flickskolans byggnad).
Byggnaderna på Lidingövägen övertogs efter nedläggningen av staten; from ht 1977 för Musikhögskolan.
Den ""cirkulära"" byggnaden riven 2013. Nybyggnation för Musikhögskolan på tomten; klart 2016."
465,Visa/betaniastiftelsens-sjukskoterskeskola/ab526836-f0f9-4976-bd20-5e0550653785,Betaniastiftelsens sjuksköterskeskola,,,,,Grevturegatan 59-61,,,,"Enskild vårdskola

Öppnade 1900 i anslutning till Betaniastiftelsens sjukhem. 
Drevs av Metodistkyrkan ?. Skolan övertogs 1973 av Stockholms läns landsting."
466,Visa/banrportsskolan/ca35a2b8-e262-4fef-b440-5e4473cc0e53,Banérportsskolan,,,,,Karlavägen 121,,,,"Fristående grundskola åk 1-3, F-6 from 2006.

Öppnad ht 2002.

Våren 2020 blev Banérportsskolan en del av Pysslingen skolor i samband med att skolkoncernen AcadeMedia tog över ägandeskapet. (enligt hemsida 2021)"
467,Visa/hjulsta-grundskola/ac9af1f1-3725-4ede-9686-5e6ddea14e6b,Hjulsta grundskola,Hjulsta skolor / Hjulstaskolan / (Hjulsta grundskolas grundsärskola),,,,Hjulsta backar 6,,,,"Grundskola åk 7-9, from ht 2013 åk 1-9; Grundsärskola

Öppnad 1971 som Hjulstaskolan och då huvudskola i Hjulsta ro 
1971-1991. Egen enhet 1991. 
Tillhörde Spånga-Tensta Sdn 1997-vt 2007.
2004 anges beteckningen Hjulsta skolor, från 2005 för Hjulstaskolan och Hyllingeskolan. 2006 upptas skolorna åter åtskilda och med Hyllingeskolan som annex till Hjulstaskolan. 
2007 åter med samlingsbeteckningen Hjulsta skolor och med Hjulstaskolan som huvudskola.
I katalog 2010 åter som två separata skolor med samma rektor.
I katalog 2013 under namnet Hjulsta grundskola (bestående av fd Hjulstaskolan åk 7-9 och fd Hyllingeskolan åk 1-6).

Första skolan i Spånga socken byggdes 1807 vid Lilla Tensta (enl. andra uppg. 1810 vid Spånga båtsmansstuga på Hjulsta ägor) gemensamt med Järfälla socken. Kallades också ""skolan i Hjulsta"". 
Avvecklades när Spånga kyrkskola byggdes 1873.

Med grundsärskola (åtm. från ht 2009) - Hjulsta grundskolas grundsärskola. Upphört 2017?"
468,Visa/ornsbergs-folkskola/7812a836-7b18-44d2-89a4-5e9dc51afbb3,Örnsbergs folkskola,,,,,,,,,
469,Visa/designgymnasiet-kungsholmen/00a4f4a2-5e6d-450f-8ee5-5ed42225548e,Designgymnasiet Kungsholmen,"Design & Construction College, Design & Construction College, Hermods, DCC gymnasium",,,,Strandbergsgatan 16B,,,,"Fristående gymnasieskola

Upptas fg i katalog 2010. I lista från Utbildningsförvaltningen 2012 som Design & Construction College, Hermods. 
Nytt namn Designgymnasiet Kungsholmen från ca 2019."
470,Visa/magelungens-gymnasium-sodermalm/dc67f035-3d40-49c5-9530-5ed71f8e68ba,Magelungens gymnasium Södermalm,MBC-skolan Söder / MBC gymnasiet / MBC skolan gymnasiet Södermalm / MBC skolan gymnasium Södermalm,,,,"Bondegatan 39       2012-2017?
Södermannagatan 48  2017-",,,,"Fristående gymnasieskola (för elever med behov av särskilt stöd)

Upptas fg i katalog 2012. I lista fr. Utbildn.förv. 2012 som 
MBC-skolan Söder, gymnasiet.
På nätet 2014 anges namnet MBC skolan gymnasiet Södermalm.
På nätsida över gymnasier 2015 anges MBC skolan gymnasium Södermalm. 
På samma adress upptas 2015 också grundskola åk 7-9 - se Magelungen Söder.
I lista över gymnasier 2016 med namnet Magelungens gymnasium Södermalm. 2017 på ny adress: Södermannagatan 48."
471,Visa/skanskvarnsskolan/73f761c7-e2de-4821-93ce-5ef9fe132406,Skanskvarnsskolan,,,,,Gullmarsvägen 60,,,,"Folkskola, Enhetsskola, Grundskola åk 1-6, Grundsärskola

Huvudskola i Skanskvarns öd/ro 1945-1970. 
Avd. för rörelsehindrade elever from 1969?. (Benämnda Skanskvarns RH-klasser i katalog 2015).
Egen enhet 1991. Tillhörde Enskede-Årsta Sdn 1997-vt 2007.
Lokaler utnyttjade som provisorium för Samrealskolan i Enskede 1945-1948.

Provisorier:
Hyrd lokal på Götgatan 106 (Piehls) och Hjälmarsvägen 26, i  Årsta centrum på 1950-talet. Två paviljonger 1950.

Med grundsärskola (åtm. från 2009). Upptas ej i lista 2015 över grundsärskolor."
472,Visa/fru-bergmanssons-skola/72805996-77b4-4c35-a233-5f04a5bf2579,Fru Bergmanssons skola,,,,,"Norrmalmstorg 14  1863
Norrmalmstorg 10  1868",,,,"Privatskola

Känd 1863 (16 barn), 1868 (6 barn)."
473,Visa/gubbangens-gards-skola/e091f088-8520-4298-93f6-5f498c4d4e2e,Gubbängens gårds skola,Gubbängsgården,,,,,,,,Folkskola
474,Visa/sfi/5fd04a05-852f-4628-aac2-5f88eb29be9a,SFI,SFI-skolan / Svenska för invandrare / SFI Centrum / Stockholms invandrarmottagning,,,,se Historik mm !,,,,"Undervisning i svenska för invandrare genom studieförbund from 19xx. 
Kommunaliserad 1992 med undervisning i fd S:t Görans samrealskola (Fridhemsgatan 19), Maria gamla skola (S:t Paulsgatan 41), Riksbyskolan (Riksbyvägen 48B) samt i Västertorps fd gymnasium (Störtloppsvägen 2). 
Central administration på Fridhemsgatan 19, upphörd 1996.

From ht 1996 mottagningssektion på Magnus Ladulåsgatan 63 (Stockholms invandrarmottagning, SFI Centrum; 2004 på Hornsgatan 124) och flera självständiga enheter:  
SFI-skolan  Riksby (Riksbyvägen 48B) 1996-2000,
SFI-skolan Södermalm (Maria gamla skola/S:t Paulsgatan 41 1996-1998, Söder Mälarstrand 35/65 1998-2000, 
med annex Hornsgatan 93 (fd Zinkensdamm) 1998-2000),
SFI-skolan Västertorp (Störtloppsvägen 2 ) 1996-2000, SFI Västertorp/Liljeholmen på Lövholmsvägen 2  1999-2000).
Dessutom SFI-kurser vid Västerorts vuxengymnasium/Järingeskolan med annex 1999-2001 (se d:o för detaljer).

Privatiserades delvis from vt 2001. Efter test på SFI Centrum 
(se ovan) fick eleverna välja skola: Föreningen Livstycket, Competens i Götaland AB, Liber Hermods AB, Lernia AB samt det kommunala SFI i Riksby som underställdes SFI-centrum vars chef fick rektors ställning (allt vt 2001). Även Fogelströmska gymnasiet 2001/02 enl. Utbildningsförvaltningen skolförteckning.

2004 enl. Utbildningsförvaltningens skolförteckning, SFI Centrum enl. ovan samt enheterna:
SFI Riksby (Riksbyvägen 48B), SFI syd München/Södermalm (Söder Mälarstrand 35/36) och SFI syd Vårberg (Vårholmsbackarna 100, 
fd Vårbergsskolan).

Till ht 2005: SFI centrum (Hornsgatan 124) och SFI syd Vårberg (Vårholmsbackarna 100) kvar. Den senare nu som en del av nybildade Söderorts vuxenutbildning - se vidare d:o. SFI syd (München) och SFI Riksby nedlagda efter vt 2005. Delar av SFI Riksby dock överförda till Västerorts vuxengymnasium - se d:o.
2005 även på Åsö vuxengymnasium (enl dess arkivfört.).

Ht 2007: SFI centrum sammanslaget med Vuxenutbildningscentrum Stockholm under namnet Vuxenutbildning Stockholm med adress Hornsgatan 124.

Vt 2009: SFI-undervisningen övergår från Utbildningsförvaltningen till Socialtjänstförvaltningen och senare till Arbetsmarknsdsförvaltningen. Arkiven beräknas prel. följa med in i den nya organisationen.

Förteckningar över komvuxutbildningar finns på internet och uppdateras inför en ny termin.

För ytterligare detaljer - se arkivförteckningarnas inledningar."
475,Visa/lagre-lararinneseminarium/38cf5ce2-3319-446c-9e68-5fdca22bd4f7,Lägre lärarinneseminarium,,,,,Norrlandsgatan 37,,,,"Privatskola

Fanns 1897"
476,Visa/arvingeskolan/3e8d8e18-946e-4928-8291-5fefd6b5bb81,Ärvingeskolan,Ärvinge skola / Ervinge skola,,,,Köpenhamnsgatan 11,,,,"Folkskola, Grundskola åk1-9, senare 7-9 och from 2006: 6-9, Grundsärskola

Grundskolan öppnade 1978.
Huvudskola i Ärvinge ro. Egen enhet 1992. Tillhörde Kista Sdn 1997-vt 2007.

1885-1940 fanns en sk mindre skola i Ervinge - se Spånga skoldistrikt.

Med grundsärskola (åtm. från ht 2009) - se vidare Kista grundskola.

Sammanslagen ht 2014 med Igelbäcksskolan till Kista grundskola -
se vidare d:o."
477,Visa/hedvig-eleonora-ro2--1987-1991/e148dd60-dc9c-4fdd-9e24-5ffdbf15d0a1,Hedvig Eleonora ro2  1987-1991,,,,,,,,,"Huvudskola:
Ahlströmska skolan"
